"","system","country","origin","status","url","class","Date"
"304","BTR-82A","Russia","Russia","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/25DqyNfS/55448.png","Infantry Fighting Vehicles","03/06/2022"
"305","BTR-82A","Russia","Russia","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/rwBjMGCL/f45.png","Infantry Fighting Vehicles","03/06/2022"
"306","BTR-82A","Russia","Russia","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/J01GbYLL/bb2.png","Infantry Fighting Vehicles","03/06/2022"
"307","BTR-82A","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/GpPxHgvr/65h.png","Infantry Fighting Vehicles","03/06/2022"
"308","BTR-82A","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/jdHxdgRs/44f.png","Infantry Fighting Vehicles","03/06/2022"
"309","BTR-82A","Russia","Russia","damaged","https://web.archive.org/web/20220306205522/https://i.postimg.cc/j5kxgNCW/g66.jpg","Infantry Fighting Vehicles","03/06/2022"
"310","BTR-82A","Russia","Russia","damaged","https://web.archive.org/web/20220306205522/https://i.postimg.cc/BbS69p4N/66588.png","Infantry Fighting Vehicles","03/06/2022"
"311","BTR-82A","Russia","Russia","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Kc32fSfv/6658.png","Infantry Fighting Vehicles","03/06/2022"
"312","BTR-82A","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/TY2FGgMp/gg5.png","Infantry Fighting Vehicles","03/06/2022"
"313","BTR-82A","Russia","Russia","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/85gFCPXs/bb1.png","Infantry Fighting Vehicles","03/06/2022"
"314","BTR-82A","Russia","Russia","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/kXQV46L8/gg5.jpg","Infantry Fighting Vehicles","03/06/2022"
"315","BTR-82A","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/vmkFs4Bx/4437.png","Infantry Fighting Vehicles","03/06/2022"
"316","BTR-82A","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Y994gyQF/431.png","Infantry Fighting Vehicles","03/06/2022"
"317","BTR-82A","Russia","Russia","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/fLfVC59M/o9.png","Infantry Fighting Vehicles","03/06/2022"
"318","BTR-82A","Russia","Russia","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/T2mBfj1J/3rr.png","Infantry Fighting Vehicles","03/06/2022"
"319","BTR-82A","Russia","Russia","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/bJDw1Gdq/46.png","Infantry Fighting Vehicles","03/06/2022"
"320","BTR-82A","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Y994gyQF/431.png","Infantry Fighting Vehicles","03/06/2022"
"321","BTR-D","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Bnsmsrsf/5426.png","Armoured Personnel Carriers","03/06/2022"
"322","BTR-D","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/J4crJP7d/46.png","Armoured Personnel Carriers","03/06/2022"
"323","BTR-D","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Dy5GN1B5/jj8.jpg","Armoured Personnel Carriers","03/06/2022"
"324","BTR-D","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/cH7kMRrS/h76.png","Armoured Personnel Carriers","03/06/2022"
"325","BTR-D","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/kgBKhrFT/884.png","Armoured Personnel Carriers","03/06/2022"
"326","BTR-D","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/v82r98q8/g54.jpg","Armoured Personnel Carriers","03/06/2022"
"327","BTR-D","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/T2VG5ZJL/x3.jpg","Armoured Personnel Carriers","03/06/2022"
"328","BTR-D","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/W3rVnKRy/x1.jpg","Armoured Personnel Carriers","03/06/2022"
"329","BTR-D","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/cHHvDd1J/g7.jpg","Armoured Personnel Carriers","03/06/2022"
"330","BTR-D","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Y9V7fHyY/j1.jpg","Armoured Personnel Carriers","03/06/2022"
"331","BTR-D","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/MpZ12bRZ/v7.jpg","Armoured Personnel Carriers","03/06/2022"
"332","BTR-D","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/dt5X2Dt3/Screenshot-8647.png","Armoured Personnel Carriers","03/06/2022"
"333","BTR-D","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/43R2jzh3/441.png","Armoured Personnel Carriers","03/06/2022"
"334","BTR-D","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/P5grPQ3H/4fj.png","Armoured Personnel Carriers","03/06/2022"
"335","BTR-D","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/bN80m24w/6688.png","Armoured Personnel Carriers","03/06/2022"
"336","BTR-D","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Vk3585Qr/547.png","Armoured Personnel Carriers","03/06/2022"
"337","BTR-D","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/hvBB3rct/x2.jpg","Armoured Personnel Carriers","03/06/2022"
"338","BTR-D","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/nzH4n8F8/6659.jpg","Armoured Personnel Carriers","03/06/2022"
"339","BTR-D","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/cC5Xg9fm/b77.jpg","Armoured Personnel Carriers","03/06/2022"
"340","BTR-D","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/MK9vRkMx/vbb.jpg","Armoured Personnel Carriers","03/06/2022"
"341","BTR-D","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/R0wx2Ssc/44ff.jpg","Armoured Personnel Carriers","03/06/2022"
