"","country","system","damaged","captured","abandoned","destroyed","total","Date"
"278","Ukraine","2 R-431AM antenna module for the Redut-2US communications system",0,0,0,2,2,"12/27/2023"
"279","Ukraine","2 R-439-MD2 SatCom Station",0,0,0,2,2,"12/27/2023"
"280","Ukraine","2 RLK-MC-A (ROSC-1) counter-UAV system",0,0,0,2,2,"12/27/2023"
"281","Ukraine","2 Supercam S150",0,1,0,1,2,"12/27/2023"
"282","Ukraine","2 T-72 'Ural'",1,0,1,1,3,"12/27/2023"
"283","Ukraine","2 T-72AMT Zr.2022",1,0,1,1,3,"12/27/2023"
"284","Ukraine","2 T-80BVK",0,1,0,1,2,"12/27/2023"
"285","Ukraine","2 Tu-22M3 strategic bomber",1,0,0,1,2,"12/27/2023"
"286","Ukraine","2 UAZ-31514",0,0,0,2,2,"12/27/2023"
"287","Ukraine","2 Unknown EW system",0,0,0,2,2,"12/27/2023"
"288","Ukraine","2 Unknown MRL",0,0,0,2,2,"12/27/2023"
"289","Ukraine","2 Unknown radar",0,0,0,1,1,"12/27/2023"
"290","Ukraine","2 ZALA 421-16?M",0,2,0,0,2,"12/27/2023"
"291","Ukraine","2 ZiL-130 tanker",0,0,0,2,2,"12/27/2023"
"292","Ukraine","2 ZiL-131 UMZ mine laying vehicle",0,0,0,2,2,"12/27/2023"
"293","Ukraine","2 ZiL-131 tanker",0,1,0,1,2,"12/27/2023"
"294","Ukraine","20 100mm MT-12 anti-tank gun",2,11,0,7,20,"12/27/2023"
"295","Ukraine","20 1V14 battery command and forward observer vehicle",1,14,1,5,21,"12/27/2023"
"296","Ukraine","20 203mm 2S7(M) Pion/Malka",1,1,0,18,20,"12/27/2023"
"297","Ukraine","20 KamAZ 8x8",0,5,0,11,16,"12/27/2023"
"298","Ukraine","20 R-149AKSh-1 command and signals vehicle",1,1,0,17,19,"12/27/2023"
"299","Ukraine","203mm 2S7 Pion",5,2,0,3,10,"12/27/2023"
"300","Ukraine","21 Pantsir-S1",3,2,1,16,22,"12/27/2023"
"301","Ukraine","22 MiG-29 fighter aircraft",1,0,0,21,22,"12/27/2023"
"302","Ukraine","220mm BM-27 Uragan",1,11,0,57,69,"12/27/2023"
"303","Ukraine","220mm TOS-1A",4,3,0,13,20,"12/27/2023"
"304","Ukraine","23 KamAZ Avtozaks",0,4,1,17,22,"12/27/2023"
"305","Ukraine","23 Mi-8 transport helicopter",0,0,0,21,21,"12/27/2023"
"306","Ukraine","23mm ZU-23",0,3,0,0,3,"12/27/2023"
"307","Ukraine","240mm 2S4 Tyulpan",1,0,0,32,33,"12/27/2023"
"308","Ukraine","26 BTR-7",0,13,0,6,19,"12/27/2023"
"309","Ukraine","27 Unknown BMP-1/2",0,0,0,21,21,"12/27/2023"
"310","Ukraine","28 100mm MT-12 anti-tank gun",2,8,0,18,28,"12/27/2023"
"311","Ukraine","287 Unknown tank",32,0,16,220,268,"12/27/2023"
"312","Ukraine","29 BRM-1(K) reconnaissance vehicle",2,9,2,17,30,"12/27/2023"
"313","Ukraine","29 Mastiff Protected Patrol",8,3,3,14,28,"12/27/2023"
"314","Ukraine","29 T-72BA",3,16,0,11,30,"12/27/2023"
